Id;Symbol;Side;Open Time;Close Time;PnL (USDT);Balance
221;DASHUSDT;SYNC;2026-06-30 15:59:02;2026-06-30 15:59:02;0.1549;9151.3697
222;DASHUSDT;SYNC;2026-06-30 15:59:03;2026-06-30 15:59:03;1.8272;9153.1969
223;DASHUSDT;SYNC;2026-06-30 15:59:03;2026-06-30 15:59:03;0.1327;9153.3295
224;SOLUSDT;SYNC;2026-06-30 16:03:10;2026-06-30 16:03:10;1.9368;9155.2658
225;STABLEUSDT;SYNC;2026-06-30 17:27:41;2026-06-30 17:27:41;3.7838;9159.0491
226;STABLEUSDT;SYNC;2026-06-30 20:47:50;2026-06-30 20:47:50;1.3295;9160.3653
227;STABLEUSDT;SYNC;2026-06-30 20:52:00;2026-06-30 20:52:00;1.2781;9161.6431
228;STABLEUSDT;SYNC;2026-06-30 21:02:47;2026-06-30 21:02:47;0.0284;9161.6712
229;STABLEUSDT;SYNC;2026-06-30 21:02:47;2026-06-30 21:02:47;0.1465;9161.8176
230;STABLEUSDT;SYNC;2026-06-30 21:02:47;2026-06-30 21:02:47;0.1465;9161.9641
231;STABLEUSDT;SYNC;2026-06-30 21:02:48;2026-06-30 21:02:48;0.0253;9161.9894
232;STABLEUSDT;SYNC;2026-06-30 21:02:48;2026-06-30 21:02:48;0.2028;9162.1922
233;STABLEUSDT;SYNC;2026-06-30 21:02:48;2026-06-30 21:02:48;0.7207;9162.9128
234;STABLEUSDT;SYNC;2026-06-30 21:08:33;2026-06-30 21:08:33;1.3243;9164.2368
235;STABLEUSDT;SYNC;2026-06-30 21:12:08;2026-06-30 21:12:08;1.278;9165.5146
236;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.2694;9165.2501
237;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.1595;9165.0906
238;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.9158;9164.1748
239;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.054;9164.1208
240;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.0027;9164.118
241;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.0554;9164.0627
242;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.0554;9164.0073
243;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.9399;9163.0674
244;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.0519;9163.0154
245;STABLEUSDT;SYNC;2026-07-01 01:18:53;2026-07-01 01:18:53;-0.0916;9162.9238
246;STABLEUSDT;SYNC;2026-07-01 01:18:55;2026-07-01 01:18:55;-1.7941;9161.1297
247;STABLEUSDT;SYNC;2026-07-01 01:18:55;2026-07-01 01:18:55;-1.8844;9159.2453
248;STABLEUSDT;SYNC;2026-07-01 01:18:55;2026-07-01 01:18:55;-1.1942;9158.0509
249;STABLEUSDT;SYNC;2026-07-01 01:18:55;2026-07-01 01:18:55;-0.2123;9157.8386
250;JUPUSDT;SYNC;2026-07-01 01:19:03;2026-07-01 01:19:03;-0.3024;9157.5362
251;JUPUSDT;SYNC;2026-07-01 01:19:03;2026-07-01 01:19:03;-0.3696;9157.1666
252;JUPUSDT;SYNC;2026-07-01 01:19:03;2026-07-01 01:19:03;-0.8848;9156.2818
253;JUPUSDT;SYNC;2026-07-01 01:19:03;2026-07-01 01:19:03;-0.28;9156.0018
254;JUPUSDT;SYNC;2026-07-01 01:19:03;2026-07-01 01:19:03;-0.2688;9155.733
255;JUPUSDT;SYNC;2026-07-01 01:19:03;2026-07-01 01:19:03;-12.4768;9143.2562
256;JUPUSDT;SYNC;2026-07-01 01:19:06;2026-07-01 01:19:06;-4.28;9138.976
257;JUPUSDT;SYNC;2026-07-01 01:19:06;2026-07-01 01:19:06;-4.5433;9134.4325
258;JUPUSDT;SYNC;2026-07-01 01:19:06;2026-07-01 01:19:06;-1.0303;9133.402
259;SOLUSDT;SYNC;2026-07-01 01:19:10;2026-07-01 01:19:10;-8.1389;9125.263
260;SOLUSDT;SYNC;2026-07-01 01:19:14;2026-07-01 01:19:14;-4.0352;9121.2275
261;DASHUSDT;SYNC;2026-07-01 01:19:16;2026-07-01 01:19:16;-2.7635;9118.4634
262;DASHUSDT;SYNC;2026-07-01 01:19:20;2026-07-01 01:19:20;-6.2705;9112.1926
